vehicle_id,window_start,window_end,drive_hours,distance_km,insufficient_exposure_flag,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,crash_count,ubi_proxy_score,vehicle_behaviour_class
229817878,2026-01-01,2026-02-01,106.11527777777778,907.0,0,32.0,0.0,0.0,0.0,0.0,1.0,2.0,30.0,1.0,6,0.6076892430278885,High
237220417,2026-01-01,2026-02-01,69.4625,608.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0,0.4626892430278884,Medium
304245737,2026-01-01,2026-02-01,68.87305555555555,577.0,0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,0.0,0,0.5080278884462152,Medium
304246224,2026-01-01,2026-02-01,8.393333333333333,318.0,0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4699800796812749,Medium
304246535,2026-01-01,2026-02-01,109.61055555555555,766.0,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0,0.5168127490039841,Medium
304249135,2026-01-01,2026-02-01,45.87166666666667,442.0,0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,244.0,4,0.6185657370517929,High
307989723,2026-01-01,2026-02-01,76.32944444444445,873.0,0,22.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,82.0,0,0.6927490039840637,High
308058091,2026-01-01,2026-02-01,50.36527777777778,272.0,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0,0.46215139442231074,Medium
312741040,2026-01-01,2026-02-01,13.622777777777777,329.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0,0.39667330677290846,Low
317984438,2026-01-01,2026-02-01,63.797777777777775,847.0,0,20.0,8.0,12.0,20.0,1.0,0.0,4.0,20.0,137.0,1,0.8049601593625498,High
317984514,2026-01-01,2026-02-01,100.26972222222223,673.0,0,43.0,4.0,3.0,7.0,0.0,1.0,2.0,31.0,0.0,1,0.7366932270916334,High
317984619,2026-01-01,2026-02-01,73.26583333333333,331.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,0,0.48396414342629485,Medium
317984646,2026-01-01,2026-02-01,97.65027777777777,1277.0,0,40.0,8.0,3.0,11.0,0.0,0.0,0.0,6.0,0.0,0,0.6494023904382471,High
321626503,2026-01-01,2026-02-01,52.06638888888889,180.0,0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0,0.47336653386454186,Medium
322619618,2026-01-01,2026-02-01,72.3375,819.0,0,7.0,3.0,0.0,3.0,1.0,0.0,0.0,49.0,423.0,0,0.6472509960159363,High
322641484,2026-01-01,2026-02-01,21.171944444444446,591.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,0,0.40444223107569727,Low
322641996,2026-01-01,2026-02-01,33.63055555555555,235.0,0,4.0,0.0,0.0,0.0,2.0,0.0,9.0,16.0,1.0,0,0.5996215139442231,High
322784039,2026-01-01,2026-02-01,104.55194444444444,1033.0,0,58.0,1.0,0.0,1.0,0.0,0.0,6.0,83.0,3.0,0,0.672390438247012,High
322785930,2026-01-01,2026-02-01,17.410555555555554,548.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,0,0.39627490039840646,Low
333211468,2026-01-01,2026-02-01,56.653055555555554,943.0,0,14.0,0.0,0.0,0.0,1.0,0.0,15.0,31.0,451.0,2,0.6624900398406375,High
333212161,2026-01-01,2026-02-01,26.57111111111111,755.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,0,0.4086254980079682,Low
333545827,2026-01-01,2026-02-01,120.20583333333333,1126.0,0,34.0,1.0,0.0,1.0,3.0,4.0,9.0,17.0,0.0,1,0.6930876494023905,High
333584194,2026-01-01,2026-02-01,72.88444444444444,686.0,0,160.0,2.0,5.0,7.0,0.0,0.0,17.0,64.0,0.0,0,0.7792828685258965,High
333584733,2026-01-01,2026-02-01,24.156111111111112,470.0,0,0.0,1.0,3.0,4.0,0.0,0.0,3.0,6.0,0.0,0,0.5878884462151395,High
333585410,2026-01-01,2026-02-01,16.79222222222222,487.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,0,0.40264940239043834,Low
333987612,2026-01-01,2026-02-01,14.45888888888889,391.0,0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0,0.5404980079681275,High
334002148,2026-01-01,2026-02-01,0.8580555555555556,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,0.3787450199203188,Insufficient Exposure
334003979,2026-01-01,2026-02-01,11.451944444444445,243.0,0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,372.0,0,0.5361155378486057,High
334006437,2026-01-01,2026-02-01,26.781944444444445,214.0,0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1,0.5607768924302788,High
