vehicle_id,window_start,window_end,drive_seconds,night_drive_seconds,distance_km,night_distance_km,harsh_corner_count,harsh_braking_count,harsh_accel_count,speeding_count,power_off_ext_batt_disc_count,cam_covered_count,eye_closed_count,yawn_count,fatigue_count,distraction_count,phone_use_count,smoke_count,Driver_Seatbelt_not_on,headway_monitor_count,lane_departure_count,forward_collision_count,ped_collision_count,crash_count,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,harsh_total_count,fatigue_total_count,driver_distraction_total_count,situational_risk_total_count,drive_hours,night_ratio
333545827,2026-01-01,2026-02-01,433082.0,95073.0,1666.0,0.0,2,27,5,1,3,1,0,0,2,4,10,0,41,0,0,0,0,1,34.0,1.0,0.0,1.0,3.0,1.0,2.0,48.0,0.0,34,2,55,0,120.30055555555556,0.2195265561718104
333584194,2026-01-01,2026-02-01,262589.0,3746.0,722.0,0.0,27,120,17,34,0,0,0,2,2,2,27,0,71,0,0,0,0,0,160.0,2.0,5.0,7.0,0.0,0.0,4.0,85.0,0.0,164,4,100,0,72.9413888888889,0.014265639459383295
333584733,2026-01-01,2026-02-01,86962.0,248.0,471.0,0.0,0,0,0,7,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,10.0,0.0,0,0,12,0,24.156111111111112,0.002851820335318875
333585410,2026-01-01,2026-02-01,60452.0,0.0,534.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1409,315,168,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,701.0,0,0,4,1940,16.79222222222222,0.0
333987612,2026-01-01,2026-02-01,52052.0,0.0,391.0,0.0,227,26,29,0,0,7,0,0,0,0,0,0,0,123,60,45,11,0,215.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,227.0,282,0,0,239,14.45888888888889,0.0
334002148,2026-01-01,2026-02-01,3089.0,0.0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11,9,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,0,0,92,0.8580555555555556,0.0
334003979,2026-01-01,2026-02-01,41227.0,0.0,245.0,0.0,8,7,19,0,1,0,0,0,0,0,0,0,2,906,148,124,12,0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,372.0,34,0,2,1190,11.451944444444445,0.0
334006437,2026-01-01,2026-02-01,96415.0,1799.0,216.0,0.0,4,8,1,0,0,0,0,1,1,0,0,0,4,0,0,4,0,1,13.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,13,2,4,4,26.781944444444445,0.01865892236685163
334008589,2026-01-01,2026-02-01,364387.0,27809.0,1482.0,0.0,4,74,4,3,0,0,0,13,13,2,44,0,76,0,0,3,0,0,82.0,1.0,1.0,2.0,0.0,0.0,26.0,103.0,3.0,82,26,122,3,101.21861111111112,0.07631721219472704
334148753,2026-01-01,2026-02-01,480485.0,110295.0,1509.0,0.0,25,55,4,69,0,0,0,0,0,8,18,2,22,0,0,20,0,3,84.0,6.0,16.0,22.0,0.0,0.0,0.0,42.0,20.0,84,0,50,20,133.46805555555557,0.22954930955180702
334154201,2026-01-01,2026-02-01,20402.0,0.0,85.0,0.0,3,1,5,2,6,0,0,0,0,0,0,0,2,125,44,18,1,1,8.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,73.0,9,0,2,188,5.667222222222223,0.0
334154315,2026-01-01,2026-02-01,227140.0,13971.0,701.0,24.0,1,3,1,0,1,0,0,6,6,3,23,0,30,0,0,0,0,0,5.0,0.0,0.0,0.0,1.0,0.0,12.0,48.0,0.0,5,12,56,0,63.09444444444444,0.061508320859381876
334159140,2026-01-01,2026-02-01,85924.0,1254.0,112.0,0.0,0,3,0,1,0,0,0,0,0,0,2,0,7,0,0,0,0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,3,0,9,0,23.86777777777778,0.014594292630696896
334723632,2026-01-01,2026-02-01,23298.0,0.0,77.0,0.0,0,1,0,0,1,0,0,0,0,1,3,0,3,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1,0,7,0,6.471666666666667,0.0
334802885,2026-01-01,2026-02-01,94903.0,0.0,73.0,0.0,3,2,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,5,0,5,0,26.361944444444443,0.0
335116387,2026-01-01,2026-02-01,372659.0,61662.0,477.0,0.0,0,10,0,0,2,0,0,2,11,4,22,0,46,0,0,0,0,2,10.0,0.0,0.0,0.0,2.0,0.0,13.0,56.0,0.0,10,13,72,0,103.51638888888888,0.1654649424809276
336854753,2026-01-01,2026-02-01,327100.0,16069.0,1351.0,0.0,20,34,21,30,0,0,0,0,4,13,40,0,116,0,0,16,0,1,73.0,2.0,6.0,8.0,0.0,0.0,4.0,151.0,16.0,75,4,169,16,90.86111111111111,0.04912564964842556
336916651,2026-01-01,2026-02-01,125946.0,0.0,269.0,0.0,3,0,0,2,0,0,0,1,1,0,4,0,13,0,0,0,0,10,3.0,2.0,0.0,2.0,0.0,0.0,2.0,17.0,0.0,3,2,17,0,34.985,0.0
336920475,2026-01-01,2026-02-01,64676.0,0.0,132.0,0.0,1,1,0,2,4,0,0,0,0,0,1,0,6,0,0,1,0,0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,2,0,7,1,17.965555555555557,0.0
336920768,2026-01-01,2026-02-01,118304.0,0.0,293.0,0.0,1,6,2,5,0,0,0,0,0,0,1,0,27,0,0,1,0,0,9.0,2.0,1.0,3.0,0.0,0.0,0.0,28.0,1.0,9,0,28,1,32.86222222222222,0.0
337268755,2026-01-01,2026-02-01,226532.0,0.0,1271.0,0.0,28,66,14,53,0,0,0,0,0,4,20,0,33,0,0,0,0,4,108.0,53.0,0.0,53.0,0.0,0.0,0.0,50.0,0.0,108,0,57,0,62.925555555555555,0.0
337271076,2026-01-01,2026-02-01,13544.0,0.0,73.0,0.0,0,903,923,5,0,0,0,0,0,0,0,0,0,213,62,14,21,0,520.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,127.0,1826,0,0,310,3.7622222222222224,0.0
337317457,2026-01-01,2026-02-01,20153.0,0.0,33.0,0.0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1,0,1,0,5.598055555555556,0.0
337591945,2026-01-01,2026-02-01,37272.0,0.0,146.0,0.0,14,1,1,0,0,0,0,0,0,0,0,0,0,389,98,65,55,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,16,0,0,607,10.353333333333333,0.0
338303849,2026-01-01,2026-02-01,73068.0,0.0,441.0,0.0,164,28,21,0,0,1,0,0,0,0,0,0,0,419,80,76,25,0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,337.0,213,0,0,600,20.296666666666667,0.0
338306241,2026-01-01,2026-02-01,319945.0,1091.0,961.0,0.0,1,2,0,0,0,0,0,0,0,3,50,0,125,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,3,0,178,0,88.87361111111112,0.0034099610870618386
339001523,2026-01-01,2026-02-01,88006.0,837.0,110.0,0.0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3,2,0,0,24.44611111111111,0.009510715178510556
339001982,2026-01-01,2026-02-01,200345.0,24444.0,325.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,55.65138888888889,0.12200953355461829
350179842,2026-01-01,2026-02-01,57928.0,0.0,448.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2,2081,488,152,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,686.0,0,0,3,2753,16.09111111111111,0.0
365321388,2026-01-01,2026-02-01,52754.0,683.0,388.0,4.0,0,0,0,0,0,0,0,0,0,1,3,0,1,1319,330,212,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,698.0,0,0,5,1888,14.653888888888888,0.012946885544224134
365598486,2026-01-01,2026-02-01,196773.0,0.0,889.0,0.0,25,49,69,0,1,0,0,4,3,1,5,0,112,473,10,38,0,36,137.0,0.0,0.0,0.0,1.0,0.0,7.0,116.0,106.0,143,7,118,521,54.659166666666664,0.0
365598883,2026-01-01,2026-02-01,312374.0,5153.0,1198.0,0.0,53,22,12,54,0,0,0,24,25,2,4,0,54,0,0,13,0,0,84.0,7.0,8.0,15.0,0.0,0.0,48.0,57.0,13.0,87,49,60,13,86.77055555555556,0.01649625128851953
365598969,2026-01-01,2026-02-01,350687.0,90347.0,527.0,0.0,1,19,5,18,0,0,0,0,0,1,9,0,13,0,0,15,0,0,25.0,4.0,5.0,9.0,0.0,0.0,0.0,20.0,15.0,25,0,23,15,97.41305555555556,0.25762859758131895
365599055,2026-01-01,2026-02-01,331552.0,70702.0,698.0,0.0,8,16,4,9,1,0,26,0,6,45,12,0,18,46,6,20,51,1,28.0,3.0,2.0,5.0,1.0,0.0,25.0,44.0,87.0,28,32,75,123,92.09777777777778,0.2132455844030499
365606074,2026-01-01,2026-02-01,61281.0,0.0,702.0,0.0,146,17,6,0,0,0,0,0,0,0,0,0,0,251,32,14,2,0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,169,0,0,299,17.0225,0.0
365670886,2026-01-01,2026-02-01,103277.0,9463.0,310.0,0.0,4,18,0,4,1,0,30,2,3,13,186,0,47,2182,249,316,90,0,22.0,0.0,1.0,1.0,1.0,0.0,29.0,96.0,796.0,22,35,246,2837,28.688055555555554,0.09162737105066956
365675387,2026-01-01,2026-02-01,570.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,2,0.15833333333333333,0.0
366594846,2026-01-01,2026-02-01,407198.0,92743.0,758.0,0.0,24,73,10,29,12,1,0,0,13,14,13,0,0,0,0,1,0,0,103.0,2.0,5.0,7.0,12.0,1.0,13.0,27.0,1.0,107,13,27,1,113.11055555555555,0.22775897720519256
366751690,2026-01-01,2026-02-01,98005.0,0.0,540.0,0.0,0,1,0,0,1,0,146,32,7,20,336,0,37,2331,335,169,69,0,1.0,0.0,0.0,0.0,1.0,0.0,126.0,147.0,742.0,1,185,393,2904,27.22361111111111,0.0
366763791,2026-01-01,2026-02-01,227707.0,27843.0,841.0,0.0,1,0,2,1,1,0,133,0,24,4,49,0,52,630,96,55,33,0,2.0,1.0,0.0,1.0,1.0,0.0,107.0,66.0,290.0,3,157,105,814,63.25194444444445,0.12227555586784772
370979095,2026-01-01,2026-02-01,33363.0,0.0,171.0,0.0,9,0,1,0,1,2,0,0,0,0,0,0,12,567,20,87,2,0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,215.0,10,0,12,676,9.2675,0.0
370982035,2026-01-01,2026-02-01,36757.0,0.0,156.0,0.0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10.210277777777778,0.0
371660225,2026-01-01,2026-02-01,164885.0,9870.0,589.0,6.0,15,14,0,18,1,0,0,0,0,3,14,0,14,754,54,44,10,1,29.0,6.0,5.0,11.0,1.0,0.0,0.0,28.0,163.0,29,0,31,862,45.80138888888889,0.05985990235618765
371661090,2026-01-01,2026-02-01,70712.0,15583.0,172.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1,0,2,7,19.642222222222223,0.22037277972621339
373265130,2026-01-01,2026-02-01,72214.0,1327.0,41.0,0.0,1,0,0,0,3,0,0,1,1,0,1,0,3,0,0,0,0,2,1.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,0.0,1,2,4,0,20.059444444444445,0.018375938183731687
373272248,2026-01-01,2026-02-01,374959.0,71823.0,974.0,0.0,0,5,1,16,0,1,0,0,0,4,8,0,15,0,0,5,0,0,6.0,4.0,2.0,6.0,0.0,1.0,0.0,22.0,5.0,6,0,27,5,104.15527777777778,0.19154894268440015
376677144,2026-01-01,2026-02-01,84112.0,325.0,781.0,0.0,342,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404,0,0,0,23.364444444444445,0.003863895758036903
377841245,2026-01-01,2026-02-01,189029.0,5210.0,88.0,0.0,0,0,0,0,0,0,0,0,0,1,2,0,25,0,0,0,0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0,0,28,0,52.50805555555556,0.027561908490231657
377841595,2026-01-01,2026-02-01,9640.0,0.0,92.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,302,57,28,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,0,0,1,394,2.6777777777777776,0.0
378317132,2026-01-01,2026-02-01,47514.0,224.0,345.0,0.0,118,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131,0,0,1,13.198333333333334,0.004714399966325715
382444594,2026-01-01,2026-02-01,14799.0,0.0,61.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,89,65,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0,0,0,551,4.110833333333333,0.0
388775883,2026-01-01,2026-02-01,360794.0,31599.0,397.0,0.0,17,54,12,5,0,0,0,0,0,3,8,0,13,0,0,0,0,0,80.0,1.0,2.0,3.0,0.0,0.0,0.0,17.0,0.0,83,0,24,0,100.22055555555555,0.08758183340077717
402182287,2026-01-01,2026-02-01,121581.0,12572.0,201.0,0.0,2,3,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,5,0,1,1,33.7725,0.1034043148189273
409223544,2026-01-01,2026-02-01,440532.0,66042.0,1909.0,0.0,45,5,5,7,0,2,0,0,35,8,36,0,17,0,0,0,0,0,54.0,3.0,2.0,5.0,0.0,2.0,35.0,50.0,0.0,55,35,61,0,122.37,0.14991419465555283
411962094,2026-01-01,2026-02-01,244313.0,20007.0,567.0,0.0,0,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7,0,3,0,67.86472222222223,0.08189085312693144
415734364,2026-01-01,2026-02-01,211663.0,0.0,454.0,0.0,1,2,1,0,1,0,0,0,0,1,3,0,10,0,0,0,0,0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,4,0,14,0,58.79527777777778,0.0
416296124,2026-01-01,2026-02-01,95595.0,0.0,1090.0,0.0,1,3,0,0,25,22,0,0,0,0,0,0,2,0,0,0,0,0,4.0,0.0,0.0,0.0,24.0,22.0,0.0,2.0,0.0,4,0,2,0,26.554166666666667,0.0
416296293,2026-01-01,2026-02-01,62982.0,0.0,371.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523,207,230,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0,0,0,2986,17.495,0.0
416380838,2026-01-01,2026-02-01,2213.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.6147222222222222,0.0
417513547,2026-01-01,2026-02-01,63720.0,699.0,142.0,0.0,3,1,1,2,1,0,0,0,9,0,4,0,6,0,0,0,0,0,5.0,0.0,1.0,1.0,1.0,0.0,9.0,10.0,0.0,5,9,10,0,17.7,0.010969868173258004
417516308,2026-01-01,2026-02-01,102270.0,0.0,939.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,1379,459,122,78,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,964.0,0,0,2,2038,28.408333333333335,0.0
417648563,2026-01-01,2026-02-01,4226.0,4.0,30.0,0.0,11,1,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12,0,0,14,1.173888888888889,0.000946521533364884
