vehicle_id,window_start,ubi_proxy_score_base,ubi_proxy_score_vlm,score_delta,rank_base,rank_vlm,rank_delta,vehicle_behaviour_class_base,vehicle_behaviour_class_vlm,covered_ratio,covered_clips,total_clips
322784039,2026-01-01,0.672390438247012,0.6177689243027888,-0.0546215139442231,31.0,41.0,-10.0,High,High,0.0,0.0,46.0
443657921,2026-01-01,0.6103984063745022,0.617370517928287,0.006972111553784854,48.0,42.0,6.0,High,High,0.0,0.0,23.0
434885978,2026-01-01,0.6169521912350598,0.61699203187251,3.984063745010591e-05,45.0,43.0,2.0,High,High,0.0,0.0,15.0
452477724,2026-01-01,0.6105179282868526,0.6115139442231076,0.0009960159362549792,47.0,44.0,3.0,High,High,0.0,0.0,65.0
337268755,2026-01-01,0.6346414342629483,0.6110557768924303,-0.023585657370517987,41.0,45.0,-4.0,High,High,0.0,0.0,33.0
335116387,2026-01-01,0.6097211155378487,0.6106374501992032,0.0009163346613545453,49.0,46.0,3.0,High,High,0.0,0.0,45.0
453865293,2026-01-01,0.6015537848605579,0.6053386454183268,0.003784860557768943,53.0,47.0,6.0,High,High,0.0,0.0,20.0
334154201,2026-01-01,0.6615139442231076,0.6032470119521912,-0.058266932270916394,35.0,48.0,-13.0,High,High,0.0,0.0,1.0
437380121,2026-01-01,0.6023107569721117,0.6032270916334662,0.0009163346613545453,52.0,49.0,3.0,High,High,0.015,1.0,68.0
458886154,2026-01-01,0.5353187250996017,0.5984063745019921,0.06308764940239042,72.0,50.0,22.0,High,High,0.0,0.0,19.0
370979095,2026-01-01,0.5965537848605578,0.5969521912350597,0.00039840637450194727,56.0,51.0,5.0,High,High,0.0,0.0,2.0
304249135,2026-01-01,0.6185657370517929,0.5960956175298805,-0.022470119521912357,44.0,52.0,-8.0,High,High,0.0,0.0,2.0
337271076,2026-01-01,0.6160358565737052,0.5959960159362551,-0.020039840637450124,46.0,53.0,-7.0,High,High,0.0,0.0,
322641996,2026-01-01,0.5996215139442231,0.5920318725099601,-0.007589641434262995,54.0,54.0,0.0,High,High,0.0,0.0,22.0
507271653,2026-01-01,0.5321314741035857,0.5850000000000001,0.05286852589641433,77.0,55.0,22.0,Medium,High,0.062,1.0,16.0
334154315,2026-01-01,0.5805179282868527,0.5844422310756973,0.003924302788844591,61.0,56.0,5.0,High,High,0.0,0.0,50.0
458891357,2026-01-01,0.5337250996015936,0.5781673306772909,0.044442231075697225,75.0,57.0,18.0,Medium,High,0.0,0.0,16.0
452460611,2026-01-01,0.575219123505976,0.5753784860557769,0.00015936254980086773,62.0,58.0,4.0,High,High,0.0,0.0,5.0
443413751,2026-01-01,0.5890239043824702,0.5695019920318726,-0.019521912350597637,58.0,59.0,-1.0,High,High,0.0,0.0,8.0
453948326,2026-01-01,0.6206772908366535,0.5686852589641435,-0.05199203187251,43.0,60.0,-17.0,High,High,0.0,0.0,52.0
509636557,2026-01-01,0.5305378486055777,0.5669521912350598,0.036414342629482066,78.0,61.0,17.0,Medium,High,0.0,0.0,13.0
422017575,2026-01-01,0.5696812749003984,0.5654382470119522,-0.004243027888446216,63.0,62.0,1.0,High,High,0.0,0.0,41.0
336920475,2026-01-01,0.6309362549800797,0.5639243027888446,-0.06701195219123501,42.0,63.0,-21.0,High,High,0.0,0.0,4.0
511468560,2026-01-01,0.5018525896414343,0.563386454183267,0.06153386454183274,93.0,64.0,29.0,Medium,High,0.0,0.0,22.0
512994171,2026-01-01,0.5058366533864542,0.562191235059761,0.05635458167330676,89.0,65.0,24.0,Medium,High,0.0,0.0,20.0
434846817,2026-01-01,0.603207171314741,0.5606374501992032,-0.042569721115537806,51.0,66.0,-15.0,High,High,0.0,0.0,5.0
507303198,2026-01-01,0.5574900398406375,0.5604581673306773,0.002968127490039829,68.0,67.0,1.0,High,High,0.0,0.0,
336916651,2026-01-01,0.5588047808764941,0.5600597609561754,0.0012549800796812782,67.0,68.0,-1.0,High,High,0.0,0.0,14.0
518312065,2026-01-01,0.4950796812749005,0.5566135458167332,0.061533864541832684,102.0,69.0,33.0,Medium,High,0.0,0.0,25.0
511471809,2026-01-01,0.4938844621513944,0.5554183266932272,0.061533864541832795,104.0,70.0,34.0,Medium,High,0.0,0.0,22.0
511879208,2026-01-01,0.4978685258964143,0.5505976095617531,0.052729083665338794,99.0,71.0,28.0,Medium,High,0.0,0.0,17.0
422008670,2026-01-01,0.5862151394422311,0.5503585657370519,-0.03585657370517925,60.0,72.0,-12.0,High,High,0.0,0.0,4.0
509637621,2026-01-01,0.5002589641434264,0.5478087649402391,0.0475498007968127,95.0,73.0,22.0,Medium,High,0.0,0.0,11.0
334003979,2026-01-01,0.5361155378486057,0.5476693227091635,0.011553784860557803,71.0,74.0,-3.0,High,Medium,0.0,0.0,4.0
333987612,2026-01-01,0.5404980079681275,0.5473505976095617,0.006852589641434204,70.0,75.0,-5.0,High,Medium,1.0,7.0,7.0
518311941,2026-01-01,0.4867131474103586,0.5469521912350598,0.06023904382470119,112.0,76.0,36.0,Medium,Medium,0.0,0.0,21.0
459505113,2026-01-01,0.5433466135458167,0.5461354581673307,0.002788844621513964,69.0,77.0,-8.0,High,Medium,0.0,0.0,55.0
509637948,2026-01-01,0.5050398406374502,0.5461155378486057,0.04107569721115545,90.0,78.0,12.0,Medium,Medium,0.0,0.0,23.0
437381828,2026-01-01,0.5596812749003984,0.543207171314741,-0.016474103585657374,66.0,79.0,-13.0,High,Medium,0.0,0.0,12.0
458748209,2026-01-01,0.4970717131474104,0.5415139442231076,0.044442231075697225,100.0,80.0,20.0,Medium,Medium,0.0,0.0,12.0
513225962,2026-01-01,0.4779482071713147,0.5405179282868527,0.06256972111553805,121.0,81.0,40.0,Medium,Medium,0.0,0.0,26.0
509637926,2026-01-01,0.4926892430278884,0.5402390438247012,0.04754980079681281,105.0,82.0,23.0,Medium,Medium,0.0,0.0,14.0
338303849,2026-01-01,0.5361155378486057,0.539780876494024,0.0036653386454182924,71.0,83.0,-12.0,High,Medium,1.0,1.0,1.0
334006437,2026-01-01,0.5607768924302788,0.5380278884462152,-0.022749003984063654,65.0,84.0,-19.0,High,Medium,0.0,0.0,3.0
460126455,2026-01-01,0.4807370517928287,0.5370916334661355,0.056354581673306814,118.0,85.0,33.0,Medium,Medium,0.0,0.0,14.0
333584733,2026-01-01,0.5878884462151395,0.5313147410358566,-0.05657370517928284,59.0,86.0,-27.0,High,Medium,0.0,0.0,14.0
511465936,2026-01-01,0.4926892430278884,0.5291035856573706,0.03641434262948218,105.0,87.0,18.0,Medium,Medium,0.0,0.0,21.0
454270937,2026-01-01,0.5942430278884463,0.5287051792828686,-0.06553784860557765,57.0,88.0,-31.0,High,Medium,0.0,0.0,30.0
512989545,2026-01-01,0.4875099601593626,0.528585657370518,0.04107569721115539,111.0,89.0,22.0,Medium,Medium,0.0,0.0,7.0
456979367,2026-01-01,0.4755577689243028,0.5284262948207172,0.05286852589641444,124.0,90.0,34.0,Medium,Medium,0.083,1.0,12.0
513234561,2026-01-01,0.4986653386454183,0.5278286852589642,0.029163346613545915,97.0,91.0,6.0,Medium,Medium,0.0,0.0,12.0
511897418,2026-01-01,0.4970717131474104,0.5262350597609563,0.029163346613545915,100.0,92.0,8.0,Medium,Medium,0.0,0.0,13.0
511633709,2026-01-01,0.4707768924302789,0.5235059760956176,0.05272908366533863,132.0,93.0,39.0,Medium,Medium,0.0,0.0,20.0
507451763,2026-01-01,0.5691235059760956,0.5231474103585657,-0.04597609561752991,64.0,94.0,-30.0,High,Medium,0.03,1.0,33.0
511893849,2026-01-01,0.4835258964143427,0.5199402390438248,0.03641434262948212,117.0,95.0,22.0,Medium,Medium,0.0,0.0,12.0
509636042,2026-01-01,0.4906972111553785,0.5198605577689244,0.02916334661354586,108.0,96.0,12.0,Medium,Medium,0.0,0.0,10.0
460126729,2026-01-01,0.5228685258964144,0.519800796812749,-0.0030677290836653714,81.0,97.0,-16.0,Medium,Medium,0.0,0.0,111.0
304246535,2026-01-01,0.5168127490039841,0.5195617529880479,0.002749003984063747,85.0,98.0,-13.0,Medium,Medium,0.0,0.0,22.0
512990207,2026-01-01,0.4950796812749005,0.5162151394422312,0.0211354581673307,102.0,99.0,3.0,Medium,Medium,0.0,0.0,14.0
518312835,2026-01-01,0.4596215139442232,0.51597609561753,0.056354581673306814,144.0,100.0,44.0,Low,Medium,0.0,0.0,17.0
509637851,2026-01-01,0.4568326693227092,0.513187250996016,0.056354581673306814,146.0,101.0,45.0,Low,Medium,0.0,0.0,22.0
509637397,2026-01-01,0.5012549800796813,0.5128087649402391,0.011553784860557803,94.0,102.0,-8.0,Medium,Medium,0.0,0.0,4.0
452787130,2026-01-01,0.5325298804780877,0.5124900398406375,-0.020039840637450235,76.0,103.0,-27.0,Medium,Medium,0.0,0.0,
509637652,2026-01-01,0.4584262948207171,0.5111553784860559,0.05272908366533874,145.0,104.0,41.0,Low,Medium,0.0,0.0,21.0
509636584,2026-01-01,0.5301394422310757,0.5100996015936256,-0.020039840637450124,79.0,105.0,-26.0,Medium,Medium,0.0,0.0,
511466682,2026-01-01,0.4687848605577689,0.5098605577689244,0.04107569721115545,134.0,106.0,28.0,Medium,Medium,0.0,0.0,16.0
373265130,2026-01-01,0.5347211155378486,0.5087450199203187,-0.025976095617529893,74.0,107.0,-33.0,Medium,Medium,0.0,0.0,4.0
464397351,2026-01-01,0.502589641434263,0.508187250996016,0.005597609561753036,92.0,108.0,-16.0,Medium,Medium,0.0,0.0,20.0
304245737,2026-01-01,0.5080278884462152,0.5047609561752988,-0.003266932270916345,88.0,109.0,-21.0,Medium,Medium,0.0,0.0,32.0
365606074,2026-01-01,0.5217729083665339,0.5017330677290837,-0.020039840637450235,82.0,110.0,-28.0,Medium,Medium,0.0,0.0,
511642605,2026-01-01,0.464402390438247,0.5008167330677291,0.03641434262948212,137.0,111.0,26.0,Medium,Medium,0.0,0.0,21.0
518867282,2026-01-01,0.4715737051792829,0.5007370517928288,0.029163346613545915,129.0,112.0,17.0,Medium,Medium,0.0,0.0,8.0
454535057,2026-01-01,0.4859163346613546,0.4974701195219124,0.011553784860557803,113.0,113.0,0.0,Medium,Medium,0.0,0.0,11.0
415734364,2026-01-01,0.4917131474103586,0.4970517928286853,0.005338645418326682,107.0,114.0,-7.0,Medium,Medium,0.0,0.0,16.0
509637738,2026-01-01,0.4556374501992031,0.49671314741035855,0.04107569721115545,147.0,115.0,32.0,Low,Medium,0.0,0.0,11.0
509636001,2026-01-01,0.4843227091633467,0.49587649402390443,0.011553784860557748,115.0,116.0,-1.0,Medium,Medium,0.0,0.0,8.0
334802885,2026-01-01,0.5106374501992033,0.49344621513944226,-0.017191235059761,87.0,117.0,-30.0,Medium,Medium,0.0,0.0,4.0
435028160,2026-01-01,0.5212350597609562,0.49262948207171314,-0.028605577689243045,83.0,118.0,-35.0,Medium,Medium,0.0,0.0,18.0
416296124,2026-01-01,0.5267529880478088,0.4908964143426295,-0.03585657370517931,80.0,119.0,-39.0,Medium,Medium,0.0,0.0,29.0
512980905,2026-01-01,0.4432868525896414,0.49083665338645416,0.04754980079681276,155.0,120.0,35.0,Low,Medium,0.0,0.0,11.0
322641484,2026-01-01,0.4044422310756972,0.4908167330677291,0.0863745019920319,179.0,121.0,58.0,Low,Medium,0.0,0.0,18.0
509637688,2026-01-01,0.4783466135458167,0.48990039840637456,0.011553784860557859,120.0,122.0,-2.0,Medium,Medium,0.0,0.0,10.0
458181322,2026-01-01,0.4604183266932271,0.48958167330677294,0.02916334661354586,143.0,123.0,20.0,Medium,Medium,0.0,0.0,12.0
402182287,2026-01-01,0.5351195219123506,0.48944223107569723,-0.04567729083665334,73.0,124.0,-51.0,Medium,Medium,0.0,0.0,2.0
507264328,2026-01-01,0.4851195219123506,0.4860557768924303,0.0009362549800797093,114.0,125.0,-11.0,Medium,Medium,0.0,0.0,5.0
509637899,2026-01-01,0.4568326693227092,0.485996015936255,0.029163346613545804,146.0,126.0,20.0,Low,Medium,0.0,0.0,7.0
509637553,2026-01-01,0.4488645418326694,0.48527888446215145,0.036414342629482066,152.0,127.0,25.0,Low,Medium,0.0,0.0,12.0
334159140,2026-01-01,0.4925697211155378,0.48470119521912347,-0.007868525896414347,106.0,128.0,-22.0,Medium,Medium,0.0,0.0,2.0
376677144,2026-01-01,0.5034462151394423,0.48340637450199203,-0.02003984063745029,91.0,129.0,-38.0,Medium,Medium,0.0,0.0,
317984619,2026-01-01,0.4839641434262948,0.48127490039840637,-0.0026892430278884216,116.0,130.0,-14.0,Medium,Medium,0.0,0.0,16.0
378317132,2026-01-01,0.4998605577689243,0.4798207171314741,-0.02003984063745018,96.0,131.0,-35.0,Medium,Medium,0.0,0.0,
509637506,2026-01-01,0.4787450199203187,0.4796812749003984,0.0009362549800797093,119.0,132.0,-13.0,Medium,Medium,0.0,0.0,1.0
