vehicle_id,window_start,window_end,drive_hours,distance_km,insufficient_exposure_flag,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,crash_count,ubi_proxy_score,vehicle_behaviour_class,covered_ratio,total_clips,covered_clips
334154315,2026-01-01,2026-02-01,63.09444444444444,701.0,0,5.0,0.0,0.0,0.0,1.0,0.0,12.0,48.0,0.0,0,0.5844422310756973,High,0.0,50.0,0.0
334159140,2026-01-01,2026-02-01,23.86777777777778,112.0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0,0.48470119521912347,Medium,0.0,2.0,0.0
334723632,2026-01-01,2026-02-01,6.471666666666667,77.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0,0.45806772908366533,Low,0.0,8.0,0.0
334802885,2026-01-01,2026-02-01,26.361944444444443,73.0,0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0,0.49344621513944226,Medium,0.0,4.0,0.0
335116387,2026-01-01,2026-02-01,103.51638888888888,477.0,0,10.0,0.0,0.0,0.0,2.0,0.0,13.0,56.0,0.0,2,0.6106374501992032,High,0.0,45.0,0.0
336854753,2026-01-01,2026-02-01,90.86111111111111,1351.0,0,73.0,2.0,6.0,8.0,0.0,0.0,4.0,151.0,16.0,1,0.7899601593625497,High,0.0,82.0,0.0
336916651,2026-01-01,2026-02-01,34.985,269.0,0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,17.0,0.0,10,0.5600597609561754,High,0.0,14.0,0.0
336920475,2026-01-01,2026-02-01,17.965555555555557,132.0,0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,0,0.5639243027888446,High,0.0,4.0,0.0
336920768,2026-01-01,2026-02-01,32.86222222222222,293.0,0,9.0,2.0,1.0,3.0,0.0,0.0,0.0,28.0,1.0,0,0.6509362549800797,High,0.0,5.0,0.0
337268755,2026-01-01,2026-02-01,62.925555555555555,1271.0,0,108.0,53.0,0.0,53.0,0.0,0.0,0.0,50.0,0.0,4,0.6110557768924303,High,0.0,33.0,0.0
337271076,2026-01-01,2026-02-01,3.7622222222222224,73.0,0,520.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,127.0,0,0.5959960159362551,High,0.0,,0.0
337317457,2026-01-01,2026-02-01,5.598055555555556,33.0,0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0,0.4284860557768924,Low,0.0,1.0,0.0
337591945,2026-01-01,2026-02-01,10.353333333333333,146.0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0,0.4511354581673307,Low,0.0,,0.0
338303849,2026-01-01,2026-02-01,20.296666666666667,441.0,0,150.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,337.0,0,0.539780876494024,Medium,1.0,1.0,1.0
338306241,2026-01-01,2026-02-01,88.87361111111112,961.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0,0.4765737051792828,Medium,0.0,67.0,0.0
339001523,2026-01-01,2026-02-01,24.44611111111111,110.0,0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.4195019920318725,Low,0.0,,0.0
339001982,2026-01-01,2026-02-01,55.65138888888889,325.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.35073705179282866,Low,0.0,3.0,0.0
350179842,2026-01-01,2026-02-01,16.09111111111111,448.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,686.0,0,0.422589641434263,Low,0.0,12.0,0.0
365321388,2026-01-01,2026-02-01,14.653888888888888,388.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,698.0,0,0.423386454183267,Low,0.0,12.0,0.0
365598486,2026-01-01,2026-02-01,54.659166666666664,889.0,0,137.0,0.0,0.0,0.0,1.0,0.0,7.0,116.0,106.0,36,0.7140239043824703,High,0.0,29.0,0.0
365598883,2026-01-01,2026-02-01,86.77055555555556,1198.0,0,84.0,7.0,8.0,15.0,0.0,0.0,48.0,57.0,13.0,0,0.806593625498008,High,0.0,53.0,0.0
365598969,2026-01-01,2026-02-01,97.41305555555556,527.0,0,25.0,4.0,5.0,9.0,0.0,0.0,0.0,20.0,15.0,0,0.6887450199203188,High,0.0,15.0,0.0
365599055,2026-01-01,2026-02-01,92.09777777777778,698.0,0,28.0,3.0,2.0,5.0,1.0,0.0,25.0,44.0,87.0,1,0.807788844621514,High,0.0,41.0,0.0
365606074,2026-01-01,2026-02-01,17.0225,702.0,0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0,0.5017330677290837,Medium,0.0,,0.0
365670886,2026-01-01,2026-02-01,28.688055555555554,310.0,0,22.0,0.0,1.0,1.0,1.0,0.0,29.0,96.0,796.0,0,0.773585657370518,High,0.0,86.0,0.0
365675387,2026-01-01,2026-02-01,0.15833333333333333,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.3517330677290837,Insufficient Exposure,0.0,,0.0
366594846,2026-01-01,2026-02-01,113.11055555555555,758.0,0,103.0,2.0,5.0,7.0,12.0,1.0,13.0,27.0,1.0,0,0.8559561752988049,High,0.0,,0.0
366751690,2026-01-01,2026-02-01,27.22361111111111,540.0,0,1.0,0.0,0.0,0.0,1.0,0.0,126.0,147.0,742.0,0,0.6442629482071713,High,0.0,135.0,0.0
366763791,2026-01-01,2026-02-01,63.25194444444445,841.0,0,2.0,1.0,0.0,1.0,1.0,0.0,107.0,66.0,290.0,0,0.684382470119522,High,0.0,64.0,0.0
370979095,2026-01-01,2026-02-01,9.2675,171.0,0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,215.0,0,0.5969521912350597,High,0.0,2.0,0.0
370982035,2026-01-01,2026-02-01,10.210277777777778,156.0,0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.443804780876494,Low,0.0,,0.0
371660225,2026-01-01,2026-02-01,45.80138888888889,589.0,0,29.0,6.0,5.0,11.0,1.0,0.0,0.0,28.0,163.0,1,0.753406374501992,High,0.0,32.0,0.0
